# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
5.849999999999999645e+00 1.179490773423761130e-01 3.527193902070168210e-03 6.220879882932640751e-04
5.900000000000000355e+00 1.176215651436895160e-01 3.599921638853382372e-03 6.372058919598349398e-04
5.950000000000000178e+00 1.173060585622489466e-01 3.674844978149514538e-03 6.524905478865839024e-04
6.000000000000000000e+00 1.170036389093101065e-01 3.752203860586043795e-03 6.678508515530265496e-04
6.049999999999999822e+00 1.167158699392527310e-01 3.832953596488106792e-03 6.827996723167598743e-04
6.099999999999999645e+00 1.164451721003651602e-01 3.917737437211442526e-03 6.977831813092343332e-04
6.150000000000000355e+00 1.161941021884232705e-01 4.007141417445615056e-03 7.105403649383224647e-04
6.200000000000000178e+00 1.159646394308656431e-01 4.101618379126302852e-03 7.226660359450616609e-04
6.250000000000000000e+00 1.157566909246146719e-01 4.200629346847999969e-03 7.310393505678512835e-04
6.299999999999999822e+00 1.155676712487637980e-01 4.302533743944949793e-03 7.358682612408884958e-04
6.349999999999999645e+00 1.153926683109998685e-01 4.405270932738669480e-03 7.384067298946901973e-04
6.400000000000000355e+00 1.152247118620574468e-01 4.506603893052786754e-03 7.336377956219949188e-04
6.450000000000000178e+00 1.150568241734057640e-01 4.605137076170649248e-03 7.254642328210174481e-04
6.500000000000000000e+00 1.148820081102848029e-01 4.700255318549461520e-03 7.187603408191354289e-04
6.549999999999999822e+00 1.146939480455219790e-01 4.791656275158748257e-03 7.119977427651173361e-04
6.599999999999999645e+00 1.144882213200628801e-01 4.879902078504674313e-03 7.056973427115008097e-04
6.650000000000000355e+00 1.142614443271607189e-01 4.965367560666054426e-03 7.031873389221728532e-04
6.700000000000000178e+00 1.140109112879633957e-01 5.047238348987884496e-03 7.069870227253996454e-04
6.750000000000000000e+00 1.137339501850306994e-01 5.124517528163269504e-03 7.065310741299762887e-04
6.799999999999999822e+00 1.134299260450899599e-01 5.196405319380573498e-03 7.028410971844569356e-04
6.849999999999999645e+00 1.130994829710572913e-01 5.262766752210446160e-03 6.969205342479981241e-04
6.900000000000000355e+00 1.127448753302544293e-01 5.324675301699899506e-03 6.891830632928758280e-04
6.950000000000000178e+00 1.123699108465015944e-01 5.384550431654788402e-03 6.771045593582093692e-04
7.000000000000000000e+00 1.119801455122232392e-01 5.445192841091192962e-03 6.596101241717114688e-04
7.049999999999999822e+00 1.115828748840838602e-01 5.509223704640753456e-03 6.432787228324451066e-04
7.099999999999999645e+00 1.111846709316968856e-01 5.578961924053727969e-03 6.252477087494918203e-04
7.150000000000000355e+00 1.107903031321614967e-01 5.655727845258079825e-03 6.012957839937880297e-04
7.200000000000000178e+00 1.104029378218948781e-01 5.739865038963034433e-03 5.762856293017975780e-04
7.250000000000000000e+00 1.100232009810954287e-01 5.831096232431009357e-03 5.504231594549492158e-04
7.299999999999999822e+00 1.096490676448494128e-01 5.928698611813597655e-03 5.252554920981638382e-04
7.349999999999999645e+00 1.092790207799524127e-01 6.031554054627194864e-03 5.027449431484565332e-04
7.400000000000000355e+00 1.089120641925930971e-01 6.138259483627043003e-03 4.814031390612944741e-04
7.450000000000000178e+00 1.085499561643600425e-01 6.247892288165166758e-03 4.669589393185452110e-04
7.500000000000000000e+00 1.081949423964321672e-01 6.360411363560706556e-03 4.555739838431123630e-04
7.549999999999999822e+00 1.078494381733983709e-01 6.476381826451980440e-03 4.472436544561758849e-04
7.599999999999999645e+00 1.075151245792955179e-01 6.596071058558300795e-03 4.391569160940126141e-04
